German;English
Wagen, der, -;car, vehicle
Wagenreparatur, die, -en;car repair
Wagentür, die, -en;car door
wählen;to dial; to choose
wahr;true
Wahrzeichen, das, -;landmark, symbol
Wanderung, die, -en;hike, walk
Wandfarbe, die, -n;wall paint
warum;why
Was für ein/eine/einen ...?;What a ...?
waschen;to wash
Wäscherei, die, -en;laundry (place)
Wasserschloss, das, -¨er;water castle (castle surrounded by water)
WE, das, -s;abbreviation for weekend? (Wochenende)
Webdesign, das, Sg.;web design
Webseite, die, -n;website
Wecker, der, -;alarm clock
Weihnachten;Christmas
Weihnachtszeit, die, Sg.;Christmas time
Weißwein, der, -e;white wine
weiterarbeiten;to continue working
Weiterbildung die, -en;continuing education, advanced training
Welt, die, Sg.;world
weltberühmt;world-famous
weltweit;worldwide
wenn;if, when
werben;to advertise; to recruit
Werbung, die, -en;advertisement, advertising
werden;to become; will (auxiliary)
werfen;to throw
Werk, das, -e;work, factory
wertvoll;valuable
Wetterbericht, der, -e;weather report
wichtig nehmen;to take seriously
wieso;why
Wochenendarbeit, die, -en;weekend work
Wochentag, der, -e;weekday
Wohlbefinden, das, Sg.;well-being
wohlfühlen (sich);to feel comfortable
wohltun;to do good, to feel good
Wohnungsbesichtigung, die, -en;apartment viewing
Wort, das, -¨er;word
wozu;what for, for what purpose
Wunderkind, das, -er;child prodigy
wunderschön;wonderfully beautiful, gorgeous
wünschenswert;desirable
