German;English
anschließend;subsequently / afterwards
Anschließend gehen wir nach Hause.;Afterwards we go home.
dann;then
Dann schreibst du einen Satz.;Then you write a sentence.
danach;after that
Danach wiederholst du es.;After that you repeat it.
endlich;at last
Endlich verstehe ich es.;At last I understand it.
gleichzeitig;simultaneously
Beide sprachen gleichzeitig.;Both spoke simultaneously.
indes;meanwhile
Ich arbeite, indes er schläft.;I work, meanwhile he sleeps.
inzwischen;in the meantime
Inzwischen ist es dunkel geworden.;In the meantime it has become dark.
mittlerweile;by now
Mittlerweile wohnt er in Berlin.;By now he lives in Berlin.
nachher;afterwards
Nachher rufe ich dich an.;Afterwards I will call you.
schließlich;finally
Schließlich kam er an.;Finally he arrived.
unterdessen;meanwhile
Unterdessen begann es zu regnen.;Meanwhile it started to rain.
vorher;before that
Vorher war alles ruhig.;Before that everything was quiet.
währenddessen;during that time
Währenddessen saß er zu Hause.;During that time he sat at home.
zuerst;first
Zuerst musst du lesen.;First you must read.
