German;English
übereinstimmen;to agree / to match / to correspond
überfüllt sein;to be overcrowded / packed
überglücklich;overjoyed / extremely happy
übernehmen;to take over / to assume / to accept
überraschen;to surprise
übersetzen;to translate / to interpret
übersehen;to overlook / to miss
übersichtlich;clear / well-arranged / organized
übrigens;by the way / incidentally
um ... zu;in order to
umleiten;to divert / to reroute
umgehen (mit);to handle / to deal with / to interact with
Umleitung, die, -en;detour / diversion
Umsatz, der, “-e;revenue / sales / turnover
Umschulung, die, -en;retraining
Umtausch, der, Sg.;exchange / return
Umtauschrecht, das, Sg.;right of exchange / return policy
Umwelt, die, Sg.;environment
Umweltproblem, das, -e;environmental problem
Umweltprojekt, das, -e;environmental project
Umweltschutz, der, Sg.;environmental protection
Umweltschutzgesetz, das, -e;environmental protection law
unabhängig;independent / autonomous
unangemessen;inappropriate / unsuitable / improper
unbefristet;indefinite / permanent / unlimited
unendlich;infinite / endless
Unfallopfer, das, -;accident victim
ungesund;unhealthy
ungewohnt;unusual / unfamiliar / unaccustomed
unhöflich;rude / impolite
Uni, die, -s (Universität);university
unkompliziert;uncomplicated / straightforward / easygoing
unmöglich;impossible
unrealistisch;unrealistic
unrentabel;unprofitable
Unsicherheit, die, -en;insecurity / uncertainty
unterbrechen;to interrupt / to break off
Unterlage, die, -n;document / material / base
unternehmen;to undertake / to do together / to venture
Unternehmen, das, -;company / enterprise / business
Unternehmensführung, die, Sg.;corporate management / business leadership
Unternehmenskultur, die, Sg.;corporate culture
Unternehmer/in, der/die, -/-nen;entrepreneur / business owner
unterscheiden (sich);to distinguish / to differ / to tell apart
Untersuchung, die, -en;examination / check-up / investigation
Unterstützung, die, -en;support / assistance / backing
unverheiratet;unmarried
Unwetter, das, -;storm / severe weather
unzufrieden;dissatisfied / unhappy / discontent
Urlaubsplanung, die, -en;vacation planning / holiday planning
Ursache, die, -n;cause / reason
