German;English
wachsen;to grow / to increase
Wagenheber, der, -;car jack / jack
Wahl, die, -en;election / vote / choice
wahlberechtigt;eligible to vote
Wahlkampf, der, “-e;election campaign
während (Konj.);while / whereas
während (Präp.);during
wahrscheinlich;probably / likely
Wandel, der, Sg.;change / transformation
Ware, die, -n;goods / merchandise / product
Warenkorb, der, “-e;shopping cart
Warndreieck, das, -e;warning triangle
Warnweste, die, -n;reflective vest / safety vest
Warteschlange, die, -n;queue / waiting line
Wäsche, die, Sg.;laundry
Waschsalon, der, -s;laundromat / launderette
Wasserkraft, die, Sg.;hydropower / water power
Wasserqualität, die, Sg.;water quality
Webdesigner/in, der/die, -/-nen;web designer
weder ... noch;neither ... nor
wegbringen;to take away / to bring away
wegen;because of / due to / on account of
weggehen;to go away / to leave
Weiterbildungsangebot, das, -e;further education offer / continuing education program
weiterempfehlen;to recommend / to pass on recommendation
weiterentwickeln;to further develop / to advance
Weiterentwicklung, die, -en;further development / advancement
weitergehen;to continue / to go on
weiterhin;furthermore / still / continue to
weiterkommen;to make progress / to get ahead
weitgehend;largely / mostly / extensive
Wellnessurlaub, der, -e;wellness vacation / spa holiday
Werbebüro, das, -s;advertising agency
Werdegang, der, Sg.;career path / professional history
wertvoll;valuable / precious
westlich;western / westerly
widerrufen;to revoke / to cancel / to withdraw
wiedersehen;to see again / to meet again
wild;wild
Windenergie, die, Sg.;wind energy
Windgeschwindigkeit, die, -en;wind speed
Windkraft, die, Sg.;wind power
Windschutzscheibe, die, -n;windshield / windscreen
Winterfahrplan, der, “-e;winter schedule / winter timetable
Winterwetter, das, Sg.;winter weather
wirken;to seem / to appear / to have an effect
Wirklichkeit, die, Sg.;reality / actuality
Wirtschaft, die, Sg.;economy / business
wirtschaftlich;economic / economical / financial
Wirtschaftsingenieur/in, der/die, -e/-nen;industrial engineer
Wirtschaftsstudium, das, Sg.;economics studies / business studies
Wissen, das, Sg.;knowledge
Wissenschaftler/in, der/die, -/-nen;scientist
WLAN, das, Sg.;WiFi / wireless network
wochentags;on weekdays / during the week
wohl;probably / likely / well
Wohl (hier: Zum Wohl!);well / welfare (here: Cheers! / To your health!)
Wohlstand, der, Sg.;prosperity / wealth / affluence
Wohneigentum, das, Sg.;home ownership / property ownership
Wohnsituation, die, -en;housing situation / living situation
wünschen (sich);to wish (for) / to desire
Wüste, die, -n;desert
wütend;angry / furious / enraged
