English;German
camping vacation / camping holiday;Campingurlaub, der, -e
can / to be able to / to know how to;können
candidate;Kandidat/in, der/die, -en/-nen
capital city;Hauptstadt, die
car / passenger vehicle;Pkw, der, -s
car check / vehicle inspection;Autocheck, der, -s
car driver;Autofahrer/in, der/die, -/-nen
car jack / jack;Wagenheber, der, -
car owner;Autobesitzer/in, der/die, -/-nen
car part;Autoteil, das, -e
car production;Autoproduktion, die, -en
car traffic;Autoverkehr, der, Sg.
care / diligence / thoroughness;Sorgfalt, die, Sg.
care / nursing / maintenance;Pflege, die, Sg.
career advancement opportunity;Aufstiegsmöglichkeit, die, -en
career advancement opportunity / promotion chance;Aufstiegsmöglichkeit, die, -en
career path / professional history;beruflicher Werdegang, der, Sg.
careful / cautious;vorsichtig
carpool / ride-sharing opportunity;Mitfahrgelegenheit, die, -en
case (here: in any case / under no circumstances);Fall, der (hier: auf jeden/keinen Fall)
cast / plaster;Gips, der, Sg.
catastrophic / disastrous;katastrophal
cause / reason;Ursache, die, -n
CD-ROM;CD-ROM, die, -s
celebrity encyclopedia;Promi-Lexikon, das, -Lexika
ceremonial / solemn;feierlich
certainly / definitely / determined;bestimmt
certificate;Zertifikat, das, -e
chairperson / chairman / chairwoman;Vorsitzende, der/die, -n
challenge;Herausforderung, die, -en
Chamber of Industry and Commerce;IHK, die (=Industrie-und Handelskammer)
champagne;Champagner, der, -
change / modification;Änderung, die, -en
change / transformation;Wandel, der, Sg.
chat;Chat, der, -s
check-up;Check-up, der, -s
cheerful / lively / awake;munter
Cheers! / To your health!;Zum Wohl!
chemical;Chemikalie, die, -n
chicken;Huhn, das, “-er
chicken / hen;Huhn, das, “-er
child seat / car seat;Kindersitz, der, -e
childbirth / delivery;Entbindung, die, -en
childcare option / care possibility;Betreuungsmöglichkeit, die, -
Christian;christlich
church;Kirche, die, -n
church tax;Kirchensteuer, die, -n
cigarette;Zigarette, die, -n
circle of friends / social network;Freundeskreis, der, -e
city councilor;Stadtrat/-rätin, der/die,“-e/-nen
city library / public library;Stadtbibliothek, die, -en
city trip;Städtereise, die, -n
clear / well-arranged / organized;übersichtlich
clever / smart / intelligent;klug
climate;Klima, das, Sg.
climate change;Klimawandel, der, Sg.
climate report;Klimabericht, der, -e
closure / shutdown;Schließung, die, -en
clutch;Kupplung, die, -en
coal;Kohle, die, -n
coal power plant;Kohlekraftwerk, das, -e
coffee filter;Kaffeefilter, der, -
commercial / business (related);kaufmännisch
commissioner / detective inspector;Kommissar/in, der/die,-e/-nen
commitment / dedication;Engagement, das, Sg.
company / business / operation;Betrieb, der, -e
company / enterprise / business;Unternehmen, das -
company agreement / works agreement;Betriebsvereinbarung, die, -en
company headquarters;Firmenhauptsitz, der, -e
comparison (here: in comparison to);Vergleich, der, -e (hier: im Vergleich zu)
competent / qualified;kompetent
competition / rivals;Konkurrenz, die, Sg.
competition / sweepstakes / prize draw;Gewinnspiel, das, -e
competitor / rival;Konkurrent/in, der/die, -en/-nen
complaints / ailments / discomforts;Beschwerden, Pl.
complete / full / entire;vollständig
complete / without gaps / unbroken;lückenlos
compromise;Kompromiss, der, -e
computer knowledge / computer expertise;Computer-Know-How, das, Sg.
computer skills / PC knowledge;PC-Kenntnisse, Pl.
concert tour;Konzerttour, die, -en
conference / congress;Kongress, der, -e
conference room;Konferenzraum, der, “-e
conflict / dispute / clash;Konflikt, der, -e
conscience;Gewissen, das, Sg.
consequence / result / episode;Folge, die, -n
conservative;konservativ
constant / permanent / continuous;ständig
constitution;Verfassung, die, -en
construction costs;Baukosten, Pl.
construction time / building period;Bauzeit, die, -en
construction work / roadworks;Bauarbeiten, Pl.
consumer;Verbraucher/in, der/die, -/-nen
consumer advice center;Verbraucherzentrale, die, -n
consumer interest;Verbraucherinteresse, das, -n
consumer law;Verbraucherrecht, das, Sg.
consumer protection;Verbraucherschutz, der, Sg.
consumer topic;Verbraucherthema, das, -themen
contemporary history;Zeitgeschichte, die, Sg.
contemporary witness (eyewitness to history);Zeitzeuge/Zeitzeugin,der/die, -n/-nen
contemporary witnesses;Zeitzeugen
contract / agreement;Vertrag, der, “-e
conversation partner / interlocutor;Gesprächspartner/in, der/die, -/-nen
cooperation / collaboration;Zusammenarbeit, die, Sg.
copy of certificate / reference copy;Zeugniskopie, die, -n
corporate culture;Unternehmenskultur, die, Sg.
corporate management / business leadership;Unternehmensführung, die, Sg.
corporation / joint-stock company;AG (= Aktiengesellschaft), die, -en
correct / proper;korrekt
costs / expenses;Kosten, Pl.
counseling center / advice center;Beratungsstelle, die, -n
counseling session / advisory talk;Beratungsgespräch, das, -e
country of immigration;Einwanderungsland, das, “-er
couple / pair / few;Paar, das, -e
course (here: in the course of years);Lauf, der (hier: im Laufe der Jahre)
course participant;Kursteilnehmer/in, der/die, -/-nen
cow;Kuh, die, “-e
cowardly;feige
credit rating information (Schufa report);Schufa-Auskunft, die, “-e
crime;Kriminalität, die, Sg.
criticism / critique;Kritik, die, -en
cruise;Kreuzfahrt, die, -en
cultural center;Kulturzentrum, das, -zentren
cultural offering / cultural program;Kulturangebot, das, -e
cultural policy;Kulturpolitik, die, Sg.
culture;Kultur, die, (hier: Sg.)
curious;neugierig
current / at the moment / temporarily;momentan
currently / at present;zurzeit
customer care / customer service;Kundenbetreuung, die, Sg.
customer contact;Kundenkontakt, der, -e
customer inquiry;Kundenanfrage, die, -n
customer service;Kundenservice, der, Sg.
customer service representative / account manager;Kundenbetreuer/in, der/die,-/-nen
cyclist / bike rider;Radfahrer/in, der/die, -/-nen
