German,English
Kaffee.,coffee.
Kaffeehaus.,coffee house.
Kakao.,cocoa/hot chocolate.
Kalender.,calendar.
kalt.,cold.
Kantine.,cafeteria/canteen.
Kanutour.,canoe tour.
kaput.,(likely typo) broken.
Rarriette.,(likely typo/corrupted) possibly "Krawatte" (tie) or "Karikatur" (caricature).
Karten spielen.,to play cards.
Kartoffel.,potato.
Käse.,cheese.
Käsekuchen.,cheesecake.
Käseplatte.,cheese platter.
Kasse ( Krankenkasse).,cash desk/register (health insurance fund).
Kasten.,box/crate.
kaufen.,to buy.
Kaufhaus.,department store.
Kaugummi.,chewing gum.
kein, keine.,no/none.
Keller.,cellar/basement.
Kellner.,waiter.
kennen.,to know (be acquainted with).
Kfz-Mechaniker.,car mechanic.
Kfz-Zulassung.,vehicle registration.
Kfz-Zulassungsstelle.,vehicle registration office.
Kilo.,kilo.
Kilogramm.,kilogram.
Kilometer.,kilometer.
Kind.,child.
Kinderarzt.,pediatrician.
Kinderbetreuung.,childcare.
Kindergarten.,kindergarten.
Kindergartenplatz.,kindergarten spot.
Kindergeld.,child benefit.
Kindergeldantrag.,child benefit application.
Kinderwagen.,stroller.
Kindheit.,childhood.
Kino.,cinema/movie theater.
Kiosk.,kiosk/newsstand.
Kita.,daycare center.
klar.,clear/okay.
klasse.,great/class.
Klasse - (Erste/Zweite Klasse).,class - (First/Second class).
Kleid.,dress.
Kleidung.,clothing.
klein.,small.
Kleinstadt.,small town.
Klingel.,doorbell.
klingeln.,to ring.
Klinikum / Kliniken.,hospital/clinic.
Koch/Köchin.,cook (male/female).
kochen.,to cook.
Kollege.,colleague.
komisch.,funny/strange.
kommen.,to come.
Kommode.,chest of drawers.
komplett.,complete.
kompliziert.,complicated.
Konditorei.,confectionery/pastry shop.
können.,to be able to/can.
Kontakt.,contact.
Kontinent.,continent.
Kontoauszug.,bank statement.
Kontonummer.,account number.
Kontrolle.,control/check.
kontrollieren.,to check/control.
Konzert.,concert.
Kopf.,head.
Kopfschmerzen.,headache.
Kopfschmerztablette.,headache tablet.
Kopie.,copy.
Körperteil.,body part.
kosten.,to cost.
Kranführer.,crane operator.
krank.,sick/ill.
Krankenhaus.,hospital.
Krankenkasse.,health insurance.
Krankenpfleger.,(male) nurse.
Krankenschwester.,(female) nurse.
Krankenwagen.,ambulance.
KranIcschreibung.,(likely typo) possibly "Krankschreibung" (sick note).
Krawatte.,tie.
Kreuzung.,intersection/crossing.
Krimi.,crime novel/detective story.
Küche.,kitchen.
Kuchen.,cake.
Kugelschreiber (Kuli).,ballpoint pen.
Kühlschrank.,refrigerator.
Kunde/Kundin.,customer (male/female).
Kurs.,course.
Kursgebühr.,course fee.
Kursliste.,course list.
Kursraum.,course room.
Kurstermin.,course date/appointment.
kurz.,short/brief.
