English;German
Vacation;Urlaub
vacation already over;Urlaub schon zu Ende
vacation apartment;Ferienwohnung
vacation there;dort Urlaub
vacation trip, holiday trip;die Urlaubsreise, -n
vacation, holiday;Urlaub
to vaccinate (against);impfen (gegen)
vacuum cleaner;der Staubsauger, -
VAT, value-added tax;Mwst, Mehrwertsteuer
vegetables;das Gemüse
the vegetables;das Gemüse, Sg
vehicle registration;Kfz-Zulassung
vehicle registration office;Kfz-Zulassungsstelle
the vehicle registration office;die Kfz-Zulassungsstelle,-n
veil;der Schleier, -
very;sehr
very hot;ganz heiß
very important;ganz wichtig
very little;sehr wenig
very many pieces of furniture;ganz vielen Möbeln
very pleasant;sehr angenehm
very short;sehr kurz
the vicinity (in der Nähe = nearby);der Nähe
vicinity (nearby/in the vicinity);Nähe  (in der Nähe)
vicinity, closeness;Nähe
view;Aussicht
village;Dorf
the villages;die Dörfer
the visa, visas;das Visum, Visa
visas;Visa
visit;Besuch
to visit;besuchen
to visit, to tour (sights);besichtigen
to visit/inspect;besichtigen
vitamin;das Vitamin, -e
vocational qualification;der Berufsabschluss, -e
vocational school;die Berufsschule, -n
voluntary, honorary, unpaid;ehrenamtlich
voluntary, willingly;freiwillig
the waiter;der Kellner
