English;German
to be on, to be going on;los sein
to be over, to end;zu Ende sein
occupied, taken, busy;besetzt
to offer;anbieten
ointment, cream;die Salbe, -n
okay, all right, in order;in Ordnung
old town, historic center;die Altstadt, Sg.
old, modern;alt, modern
online banking;das Online-Banking, Sg.
the online game, online games;das Online-Spiel, -e
online registration;die Online-Anmeldung, -en
online transfer;die Online-Überweisung, -en
to open;öffnen
to open (an account);eröffnen
opinion;die Meinung, -en
opposite;das Gegenteil, -e
the option, options;die Option, -en
to order;bestellen
order, job, commission;der Auftrag, -¨e
outside (of);außerhalb
outward flight;der Hinflug, -¨e
Over here.;Hier drüben.
overtime hour;die Überstunde, -n
