German;English
Laboruntersuchung die, -en;laboratory test
lächeln;to smile
lachen;to laugh
Ladekabel, das, -;charging cable
Lage, die, -n;location; situation
Laminat, das, Sg.;laminate flooring
Langeweile, die, Sg.;boredom
lassen;to let, to allow, to have (something done)
laufen (1): Das Radio läuft.;to run (1): The radio is on/playing.
laufen (2): Sie sind ins Café gelaufen.;to run, to walk (2): They ran/walked into the café.
lebendig;lively, vibrant
Lebensjahr, das, -e;year of life, age
Lebenslauf, der, -¨e;curriculum vitae, CV, resume
lebensrettend;life-saving
legen;to lay, to put down (horizontal)
leicht;light (weight); easy
leise;quiet, soft
Leiter, die, -n;ladder; leader (female)
Leitpfosten, der, -;guide post, reflector post (on roads)
Lernkarte, die, -n;flashcard, study card
Leser/in, der/die, -/-nen;reader
letzter, -e, -es;last
leuchten;to shine, to glow
Liebe, die, Sg.;love
Lieblingsfach, das, -¨er;favorite subject
Lieblingsspiel, das, -e;favorite game
Lied, das, -er;song
Lkw-Fahrer/in, der/die, -/-nen;truck driver
Löffel, der, -;spoon
Lohnsteuerhilfe, die, Sg.;income tax assistance
Lokal, das, -e;restaurant, pub, local establishment
los sein;to be on, to be going on
löschen;to delete, to extinguish
Luft, die, Sg.;air
lustig;funny, amusing
