German;English
Wohnen & Schlafen;Living & Sleeping
Tischdekoration;table decoration
Bettwäsche;bed linen
Decken;blankets
Kissen;pillows
Buch & Hörbuch;Book & Audiobook
Romane;novels
Sachbücher;non-fiction books
Kochbücher;cookbooks
Ratgeber;guidebooks / self-help books
Film & DVD;Film & DVD
Neuheiten;new releases
Spielfilme;feature films
TV-Serien;TV series
Dokumentarfilme;documentaries
Musik;Music
Klassik;classical
Pop;pop
Schlager;German pop / schlager music
Volksmusik;folk music
Kinderwelt;Children's World
Spiele;games
Modellbau;model building
Puppen;dolls
Stofftiere;stuffed animals
Büro;Office
Kalender;calendars
Hefte;notebooks / exercise books
Ordner;folders / binders
Papier;paper
Sport & Fitness;Sports & Fitness
Tennis;tennis
Fußball;football / soccer
Radsport;cycling
Schwimmen;swimming
Mode;Fashion
Herrenmode;men's fashion
Damenmode;women's fashion
Kinderkleidung;children's clothing
Schuhe;shoes
Heimwerker;DIY / Home improvement
Werkzeug;tools
Holz;wood
Malerbedarf;painting supplies
Gartenbedarf;gardening supplies
