German;English
das Cafe ganz allein, oder?;the café all alone, right?
nicht ganz einfach;not quite easy
es macht mir Spaß;I enjoy it
auch total schön hier;also totally beautiful here
Ich suche gern Möbel und Farben aus und ich dekoriere gern;I like choosing furniture and colors and I like decorating
bin ganz froh, dass du da bist;am very glad that you are here
Ich wollte dich nämlich etwas fragen;I wanted to ask you something actually
noch ein Regal für die Küche;another shelf for the kitchen
Zuerst wollte ich das machen lassen;first I wanted to have it done
ganz allein schaffe ich das nicht;I can't do it alone
Du weißt, dass ich Schreiner bin, oder?;You know that I'm a carpenter, right?
das habe ich gehört;I heard that
Vielleicht könntest du;maybe you could
ich kann dir gern helfen;I can gladly help you
schon viel selbst machen;already do a lot myself
Wände tapezieren und streichen, Lampen und Bilder aufhängen;wallpaper and paint walls, hang lamps and pictures
Aber Möbel bauen finde ich schwierig;But building furniture I find difficult
wie das Regal aussehen soll;what the shelf should look like
habe einen Hammer und Schrauben;I have a hammer and screws
