German,English
Päckchen.,small parcel.
packen.,to pack.
Packung.,package/pack.
Paket.,parcel.
Paketdienst.,parcel service.
Papier.,paper.
Park.,park.
parken.,to park.
Parkplatz.,parking space.
Parkzeit.,parking time/duration.
Party.,party.
Pass.,passport.
passen .,to fit/suit.
passend.,suitable/fitting.
passieren.,to happen.
Patient.,patient.
Pause.,break.
Pension.,guesthouse/pension.
Person.,person.
Pfund.,pound.
Picknick.,picnic.
Pizza.,pizza.
Pizzen.,pizzas.
Plakat.,poster.
Platz - Haben Sie noch Plätze frei?,space/seat - Do you still have free seats?
Platz - Die Kinder brauchen Platz.,space - The children need space.
Platz - Auf dem Platz ist ein Brunnen.,square - There's a fountain in the square.
Playmobil.,Playmobil (toy brand).
Post.,post/mail.
Postkarte.,postcard.
Postleitzahl.,postal code/zip code.
praktisch.,practical.
Praxis.,medical practice.
Praxen .,practices.
Preis.,price.
preiswert.,good value/affordable.
prima.,great/excellent.
pro.,per.
probieren .,to try/taste.
Problem.,problem.
Programmierer.,programmer.
Pudding.,pudding.
Pullover.,sweater.
