German;English
ab ;(from/starting at) – temporal, local – Dative
Ab Montag bin ich im Urlaub. Der Zug fährt ab Berlin. ;(From Monday I am on vacation. The train departs from Berlin.)
abzüglich; (minus) – subtraction – Genitive
Er bekam 1000 € abzüglich der Gebühren. ;(He got €1000 minus the fees.)
an; (at/on) – local, temporal, modal – Accusative (movement) / Dative (location)
Ich hänge das Bild an die Wand. Das Bild hängt an der Wand. ;(I hang the picture on the wall. The picture hangs on the wall.)
anstatt / statt; (instead of) – substitution – Genitive
Statt eines Autos kaufte er ein Fahrrad.; (Instead of a car, he bought a bicycle.)
auf; (on/upon) – local, temporal, modal – Accusative (movement) / Dative (location)
Ich lege das Buch auf den Tisch. Das Buch liegt auf dem Tisch.; (I put the book on the table. The book lies on the table.)
aus ;(out of/from) – source, material, origin – Dative
Ich komme aus Deutschland. ;(I come from Germany.)
außer; (except) – modal, exclusion – Dative
Alle sind da, außer mir.; (Everyone is here except me.)
außerhalb ;(outside of) – local, temporal – Genitive
Er wohnt außerhalb der Stadt.; (He lives outside the city.)
bei ;(at/near/with) – local, temporal, modal – Dative
Ich wohne bei meinen Eltern.; (I live with my parents.)
beiderseits; (on both sides of) – local – Genitive
Es gibt Bäume beiderseits der Straße. ;(There are trees on both sides of the street.)
bis ;(until) – temporal, local – Accusative
Ich arbeite bis 18 Uhr. Der Zug fährt bis Köln. ;(I work until 6 PM. The train goes to Cologne.)
diesseits ;(on this side of) – local – Genitive
Das Haus liegt diesseits des Flusses.; (The house lies on this side of the river.)
durch ;(through) – local, causal (by means of) – Accusative
Wir gehen durch den Park. Durch Übung wird man besser.; (We walk through the park. Through practice one improves.)
entlang; (along) – local – Accusative (after) or Dative (before)
Gehe die Straße entlang.; (Walk along the street.)
fern;(far from) – local – Genitive
Das Haus liegt fern der Stadt.; (The house is far from the city.)
für; (for) – purpose, temporal, in favor of – Accusative
Das Geschenk ist für dich.; (The gift is for you.)
gegen ;(against) – local, opposition, temporal (around) – Accusative
Er kämpft gegen den Feind. Gegen 10 Uhr komme ich. ;(He fights against the enemy. Around 10 o'clock I come.)
gegenüber ;(opposite) – local – Dative
Das Café ist gegenüber dem Bahnhof. ;(The café is opposite the station.)
gemäß; (according to) – modal, reference – Dative
Gemäß dem Gesetz ist das erlaubt. ;(According to the law, that is allowed.)
hinter ;(behind) – local – Accusative (movement) / Dative (location)
Ich stelle mich hinter den Stuhl. Ich stehe hinter dem Stuhl.; (I place myself behind the chair. I stand behind the chair.)
in; (in/into) – local, temporal, modal – Accusative (movement) / Dative (location)
Ich gehe ins Kino. Ich bin im Kino. ;(I go into the cinema. I am in the cinema.)
innerhalb ;(within) – temporal, local – Genitive
Er kommt innerhalb einer Woche zurück.; (He returns within a week.)
jenseits ;(on the other side of) – local – Genitive
Er wohnt jenseits der Grenze. ;(He lives on the other side of the border.)
kraft ;(by virtue of) – causal, reference – Genitive
Kraft seines Amtes entschied er.; (By virtue of his office, he decided.)
laut ;(according to) – reference, source – Dative (or Genitive)
Laut dem Bericht ist alles gut.; (According to the report, everything is good.)
mangels ;(due to lack of) – causal – Genitive
Mangels Beweisen wurde er freigesprochen. ;(Due to lack of evidence, he was acquitted.)
mit ;(with) – modal, accompaniment, instrument – Dative
Ich fahre mit dem Zug. ;(I travel by train.)
mitsamt ;(along with) – accompaniment – Dative
Er kam mitsamt seiner Familie. ;(He came along with his family.)
nach ;(to/after) – local (direction), temporal (after) – Dative
Ich fliege nach Berlin. Nach der Arbeit schlafe ich. ;(I fly to Berlin. After work I sleep.)
nahe ;(near) – local – Dative
Das Hotel liegt nahe dem Bahnhof.; (The hotel is located near the station.)
neben ;(next to) – local – Accusative (movement) / Dative (location)
Ich setze mich neben den Tisch. Ich sitze neben dem Tisch.; (I sit down next to the table. I sit next to the table.)
oberhalb ;(above) – local – Genitive
Das Flugzeug fliegt oberhalb der Wolken. ;(The plane flies above the clouds.)
ohne; (without) – modal, accompaniment – Accusative
Ich gehe ohne meinen Freund.; (I go without my friend.)
samt ;(together with) – accompaniment – Dative
Das Paket samt Inhalt ist weg. ;(The package together with its content is gone.)
seit; (since/for) – temporal – Dative
Ich lerne Deutsch seit einem Jahr.; (I have been learning German for a year.)
trotz ;(despite) – causal, concession – Genitive (or Dative colloquially)
Trotz des Regens gingen wir spazieren. ;(Despite the rain, we went for a walk.)
über ;(above/over) – local, temporal, modal, about (reference) – Accusative (movement) / Dative (location)
Ich hänge das Bild über das Sofa. Das Bild hängt über dem Sofa. Wir sprechen über Politik. ;(I hang the picture above the sofa. The picture hangs above the sofa. We talk about politics.)
um ;(around/at) – local (around), temporal (at) – Accusative
Wir gehen um den See. Um 8 Uhr treffen wir uns. ;(We walk around the lake. At 8 o'clock we meet.)
unter ;(under) – local, among, temporal – Accusative (movement) / Dative (location)
Ich lege den Ball unter den Tisch. Der Ball liegt unter dem Tisch.; (I put the ball under the table. The ball lies under the table.)
unterhalb ;(below) – local – Genitive
Das Dorf liegt unterhalb des Berges.; (The village lies below the mountain.)
unweit ;(not far from) – local – Genitive
Das Hotel ist unweit des Bahnhofs. ;(The hotel is not far from the station.)
von; (from/of) – source, origin, possession – Dative
Das Geschenk ist von meiner Mutter.; (The gift is from my mother.)
vor ;(in front of/before) – local, temporal (ago), causal (from) – Accusative (movement) / Dative (location)
Ich stelle mich vor den Spiegel. Ich stehe vor dem Spiegel. Vor einer Stunde kam er. ;(I place myself in front of the mirror. I stand in front of the mirror. One hour ago he came.)
während ;(during) – temporal – Genitive (or Dative colloquially)
Während des Unterrichts sprach er nicht. ;(During the lesson, he did not speak.)
wegen ;(because of) – causal – Genitive (or Dative colloquially)
Wegen des Wetters bleiben wir zu Hause. ;(Because of the weather, we stay home.)
zu ;(to/at) – local (direction), purpose – Dative
Ich gehe zu meinem Freund.; (I go to my friend.)
zuzüglich ;(plus) – addition – Genitive
Die Rechnung beträgt 100 € zuzüglich der Steuer.; (The bill is €100 plus tax.)
zwischen ;(between) – local, temporal – Accusative (movement) / Dative (location)
Ich stelle mich zwischen die Stühle. Ich stehe zwischen den Stühlen. ;(I place myself between the chairs. I stand between the chairs.)

