English;German
backpack;der Rucksack, -¨e
bad air, stuffy air;schlechte Luft
bad/terrible;schlimm
band-aid, plaster;das Pflaster, -
bandage, dressing;der Verband, -¨e
bank;die Bank, -en
bank advisor;der Bankberater, -
basic knowledge;die Grundkenntnisse, Pl.
batteries;die Batterien, Pl.
beach;der Strand, -¨e
because;weil
beginner;der/die Anfänger/in, -/-nen
beverage machine, drinks dispenser;der Getränkeautomat, -en
bicycle path, bike lane;der Fahrradweg, -e
bill, check;die Rechnung, -en
biology;die Biologie, Sg.
birthday;der Geburtstag, -e
blanket;die Decke, -n
blood values, blood test results;die Blutwerte, Pl.
boredom;die Langeweile, Sg.
bouquet of flowers;der Blumenstrauß, -¨e
box of chocolates;die Schachtel Pralinen
break rule(s);die Pausenregel, -n
breakdown service;der Pannendienst, -e
bridal couple;das Brautpaar, -
bride;die Braut, -¨e
brochure, leaflet;der Prospekt, -e
business account;das Geschäftskonto, -konten
business start-up course;der Existenzgründerkurs, -e
business trip;die Geschäftsreise, -n
busy, engaged (line);belegt
