German;English
ab;from
abbiegen;to turn
Abend;evening
Abendessen;dinner
Abendkleid;evening dress
Abendkurs;evening course
aber (1);but (1): That's so cute!
aber (2);but (2): ... but I often have to work on weekends
abifahren;(likely typo) to depart (abfahren)
Abfahrt;departure
abgeben;to hand in
abholen;to pick up
Abkürzung;shortcut/abbreviation
abmelden;to deregister/log off
Absender;sender
abstellen;to turn off/park
Abteilung;department
ach so;oh I see
achten;to pay attention (here: yield right of way)
Adresse;address
Aktivurlaub;active vacation
alle;all
allein, alleine;alone
alles;everything
Alphabet;alphabet
als (Komparativ);than (comparative)
also;so/well
alt;old
Altenpfleger;elderly care nurse
altmodisch;old-fashioned
am Apparat;on the phone
am besten;best
Ampel;traffic light
Amt;office/authority
andere;other
anders;different
anerkennen;to acknowledge/recognize
Anerkennung;recognition/appreciation
Anfang;beginning
anfangen;to begin/start
Angebot;offer
angenehm;pleasant
Angestellte;employee
anhalten;to stop
ankommen;to arrive
Ankunft;arrival
anmachen;to turn on/flirt
Anmeldebestätigung;registration confirmation
Anmeldeformular;registration form
anmelden;to register
Anmeldung;registration
annehmen;to accept
anprobieren;to try on
Anrede;salutation
Anreise;arrival (travel)
anrufen;to call
Anspruch;claim/entitlement
anstrengend;exhausting
Antrag;application
antworten;to answer
Anzahl;number/quantity
Anzeige;advertisement/display
anziehen;to get dressed/pull
Anzug;suit
Apfel;apple
Apfelsaft;apple juice
Apotheke;pharmacy
Appetit;appetite
April;April
Arbeit;work
arbeiten;to work
Arbeitgeber;employer
Arbeitsort;workplace location
Arbeitsplatz;workplace
Arbeitszeit;working hours
ärgerlich;annoying
Artikel;article
Arzt/Ärztin;doctor (male/female)
Arztbesuch;doctor's visit
Asienladen;Asian shop
auch;also
auf;on/up
auf: auf Deutsch auf Wiederhören auf Wiedersehen;on: in German goodbye (phone) goodbye (in person)
Aufgabe;task
aunhören;(likely typo) to listen
aufliegen;to be available/on display
aufmachen;to open
aufräumen;to tidy up
aufstehen;to get up
aufwachen;to wake up
Aufzug;elevator
Augenarrzt;(likely typo) eye doctor
August;August
aus;out of/from
ausffallen;(likely typo) to be canceled/fail
Ausflug;excursion
ausfüllen;to fill out
Ausgang;exit
ausgehen;to go out
Ausland;foreign country
Ausländeramt;foreigners' office
ausländisch;foreign
Auslandsreise;trip abroad
aussehen;to appear/look
Aussicht;view
Auto;car
Autokennzeichen;license plate
Automat;automaton/vending machine
Automechaniker;car mechanic
Autoschlüssel;car key
