English;German
if / when;wenn
illness / disease;Erkrankung, die, -en
immigrant;Zuwanderer/Zuwanderin, der/die, -/-nen
immigration / influx;Zuwanderung, die, -en
impossible;unmöglich
impression;Eindruck, der, “-e (hier: den Eindruck haben)
impression (here: to have the impression);Eindruck, der, “-e (hier: den Eindruck haben)
impressive;beeindruckend
in any case / under no circumstances;auf jeden/keinen Fall
in order to;um ... zu
inappropriate / unsuitable;unpassend
inappropriate / unsuitable / improper;unangemessen
income;Einkommen, das, -
indefinite / permanent / unlimited;unbefristet
independent (no party affiliation);parteilos
independent / autonomous;unabhängig
individual / single / separate;einzeln
industrial area;Industriegebiet, das, -e
industrial engineer;Wirtschaftsingenieur/in, der/die, -e/-nen
industrial mechanic;Industriemechaniker/in, der/die, -/-nen
industry;Industrie, die, -n
industry / sector / field;Branche, die, -n
industry contact / business contact;Branchenkontakt, der, -e
infinite / endless;unendlich
influenza / flu;Influenza, die, Influenza
information sheet / handout;Infoblatt, das, “-er
initially / at first;anfangs
initiative;Initiative, die, -n
injured person / casualty;Verletzte, der/die, -n
injury / wound;Verletzung, die, -en
insecurity / uncertainty;Unsicherheit, die, -en
inspection / review / examination;Durchsicht, die, Sg.
instead of;anstatt
instead of (doing something);anstatt... zu
institute;Institut, das, -e
institution / facility / establishment;Einrichtung, die, -en
instrument;Instrument, das, -e
insurance and taxes for cars;Versicherung und Steuern für Autos
insured person;Versicherte, der/die, -n
integration;Integration, die, Sg.
integration course;Integrationskurs, der, -e
integration program / integration offering;Integrationsangebot, das, -e
internet purchase;Internet-Einkauf, der, “-e
internet user;Internet-Nutzer/in, der/die,-/-nen
invitation letter;Einladungsbrief, der, -e
island state / island nation;Inselstaat, der, -en
It is assumed that ...;Man geht davon aus, dass ...
It will probably rain;Wahrscheinlich wird es regnen
item / position / job;Posten, der, -
