German;English
fängt;starts, begins
Leider verdiene;Unfortunately I earn
sehr wenig;very little
manchmal auch am Mittag;sometimes also at noon
immer;always
schreiben, lesen und rechnen;to write, read and do arithmetic
verdiene nicht schlecht;I don't earn badly
aber manchmal anstrengend;but sometimes strenuous
oft laut und sitzen nicht ruhig;often loud and they don't sit quietly
Ich fange schon sehr früh an;I start very early already
Zuerst;First
bringe ich sie zu den Leuten;I bring them to the people
ich bin viel draußen;I'm outside a lot
aber auch Probleme;but also problems
Adressen schlecht lesen;to read addresses poorly
