German;English
könnte;I could (subjunctive)
Könnte ich bitte Wasser haben?;Could I please have water?
könntest;you could (singular informal)
Das könntest du schaffen.;You could manage that.
könnten;we could / they could
Wir könnten ins Kino gehen.;We could go to the cinema.
könntet;you could (plural informal)
Ihr könntet früher kommen.;You could come earlier.
müsste;I would have to (subjunctive)
Das müsste reichen.;That should be enough.
müsstest;you would have to (singular informal)
Du müsstest mehr lernen.;You would have to study more.
müssten;we would have to / they would have to
Wir müssten jetzt gehen.;We would have to go now.
müsstet;you would have to (plural informal)
Ihr müsstet schneller sein.;You would have to be faster.
dürfte;I may / I would be allowed (subjunctive)
Das dürfte stimmen.;That may be correct.
dürftest;you may (singular informal)
Das dürftest du nicht sagen.;You might not say that.
dürften;we may / they may
Das dürfte reichen.;That should suffice.
dürftet;you may (plural informal)
Ihr dürftet das noch nicht wissen.;You might not know that yet.
sollte;I should (subjunctive)
Du solltest zum Arzt gehen.;You should go to the doctor.
solltest;you should (singular informal)
Das solltest du nicht tun.;You should not do that.
sollten;we should / they should
Wir sollten uns beeilen.;We should hurry.
solltet;you should (plural informal)
Ihr solltet pünktlich sein.;You should be on time.
wollte;I would like / I wanted (subjunctive)
Ich wollte nur fragen.;I just wanted to ask.
wolltest;you would like / you wanted (singular informal)
Warum wolltest du gehen?;Why did you want to go?
wollten;we would like / we wanted
Wir wollten ins Kino.;We wanted to go to the cinema.
wolltet;you would like / you wanted (plural informal)
Ihr wolltet doch früher gehen.;You wanted to leave earlier.
