German;English
der Radsportverein;the cycling club
der Taubenzüchterverein;the pigeon breeders' association
der Wanderverein;the hiking club
der Ruderverein;the rowing club
der Segelverein;the sailing club
der Eisenbahnverein;the railway club
der Lesekreis;the reading circle, book club
der Fußballverein;the football (soccer) club
der Gesangsverein;the singing club, choir
der Karnevalsverein;the carnival club
der Kleingartenverein;the allotment garden association
der Turnverein;the gymnastics club
der Hundezüchterverein;the dog breeders' association
der soziale Verein;the social club, charitable association
der Schachclub;the chess club
der Angelverein;the angling club, fishing club
der Tierschutzverein;the animal protection society
der Kunstverein;the art club, art association
