German;English
Fach, das, -¨er (1): Schulfach;subject, field (1): school subject
Fach, das, -¨er (2): Fach im Kopierer;compartment, slot (2): tray in copier
Fachabitur, das, Sg.;subject-specific university entrance qualification
Fachhochschule, die, -n;university of applied sciences
Fachoberschule, die, -n;technical secondary school
Fachrichtung die, -en;specialization, field of study
Fähigkeit, die, -en;ability, capability
Fahrer/in, der/die, -/-nen;driver
Fahrradstadt, die, -¨e;bicycle-friendly city
Fahrradweg, der, -e;bicycle path, bike lane
fallen;to fall
falsch;wrong, false
familienfreundlich;family-friendly
Familienmitglied, das, -er;family member
Familientag, der, -e;family day
Familienwagen, der, -;family car
Fantasie, die, Sg.;imagination
Farbroller, der, -;paint roller
Farsi;Farsi (Persian language)
Fehler, der, -;mistake, error
Feiertag, der, -e;public holiday, day off
fein;fine, delicate
Ferien, Pl.;holidays, vacation
Fernsehabend, der, -e;TV evening
Fernsehen, das, Sg.;television
Fernsehprogramm, das, -e;TV program, TV schedule
fest;firm, solid, fixed
Festspiele, Pl.;festival (usually cultural/arts)
Festtag, der, -e;festival day, celebration day
Fett, das, -e;fat
fettarm;low-fat
Feuerwerk, das, -e;fireworks
Fieberthermometer, das, -;fever thermometer
finanzieren;to finance
Finanzierung die, -en;financing
Firmenjubiläum, das, -jubiläen;company anniversary
Firmenkantine, die, -n;company canteen
Fischspezialität, die, -en;fish specialty
fit;fit
Fitnesscenter, das, -;fitness center
Fitnessstudio, das, -s;fitness studio
flach;flat
Fleischersatz, der, Sg.;meat substitute
fleißig;diligent, hard-working
flexibel;flexible
Fliese, die, -n;tile
Flüchtlingsheim, das, -e;refugee shelter
Flug, der, -¨e;flight
Flugticket, das, -s;flight ticket
Förderschule, die, -n;special needs school
Förderung, die, -en;support, promotion, funding
Formularhilfe, die, Sg.;form-filling assistance
Fortbildung die, -en;further training, professional development
Fortbildungsmöglichkeit, die, -en;further training opportunity
Fortgeschrittene, der/die, -n/-n;advanced learner, intermediate
Fotografie, die, Sg.;photography
Fragebogen, der, -¨-;questionnaire
Frauenfreundschaft, die, -en;female friendship
Frauengruppe, die, -n;women's group
frei machen;to take time off, to free up
Freitagvormittag, der, -e;Friday morning
freiwillig;voluntary, willingly
fremd;strange, foreign
Fremdsprache, die, -n;foreign language
freuen (sich);to be pleased, to look forward to
freundlich;friendly
Freundschaft, die, -en;friendship
Freundschaftsgeschichte, die, -n;friendship story
Freundschaftsverein, der, -e;friendship society
froh;glad, happy
fröhlich;cheerful
Früherkennung, die, Sg.;early detection (e.g., of diseases)
fühlen (sich);to feel
führen (hier: ein Gespräch führen);to lead, to conduct (here: to have a conversation)
Führerscheinbewerber/in, der/die, -/-nen;driver's license applicant
Fußballverein, der, -e;football (soccer) club
