German;English
hochaktuelles Thema;a highly topical subject
Wir werden immer älter;We are getting older and older
Die Zahl der Hundertjährigen;the number of centenarians
verdoppelt;doubled
begrüßen;to welcome / to greet
100sten Geburtstag gefeiert;celebrated the 100th birthday
Es gab am Nachmittag eine kleine Feier mit Kaffee und Kuchen.;There was a small celebration in the afternoon with coffee and cake.
Fotos von mir mit der Bürgermeisterin;photos of me with the mayor
gratuliert;congratulated
Seit wann wohnen Sie in dem Seniorenheim?;How long have you been living in the nursing home?
gestorben;died
sehr einsam und traurig;very lonely and sad
in einem Heim;in a home
nicht so viel allein;not so much alone
Ich fühle mich jetzt im Heim auch wohl.;I also feel comfortable in the home now.
Sie sind ja körperlich und geistig fit geblieben!;You have stayed physically and mentally fit!
einige Pillen;a few pills
ich hatte Glück;I was lucky
Ich war nie schwer krank.;I was never seriously ill.
Natürlich gab es Höhen und Tiefen.;Of course there were ups and downs.
nie meine Lebensfreude;never my joy of life
meinen Humor verloren;lost my humor
Was haben Sie getan, um fit zu bleiben?;What did you do to stay fit?
gesunde Ernährung geachtet;paid attention to a healthy diet
Wir sind jeden Tag spazieren gegangen;We went for a walk every day
Wasser-Gymnastik in die Schwimmhalle;water gymnastics in the swimming pool
Bewegung und gute Ernährung sind also Ihr Rezept?;So exercise and good nutrition are your recipe?
einen großen Freundeskreis;a large circle of friends
viel gemeinsam unternommen;did a lot together
