German;English
die Heimat;the homeland/home country
wo liegt ...?;where is ... located?
in;in
(A) Nationalität und Sprachen;Nationality and languages
die Nationalität,-en;the nationality, nationalities
die Sprache, -n;the language, languages
die Muttersprache, -n;the mother tongue/native language, native languages
sprechen, er spricht;to speak, he speaks
ein bisschen;a little bit
arbeiten;to work
lernen;to learn
lieben;to love
leben;to live
suchen;to search/look for
die Arbeit;the work/job
(B) Im Deutschkurs;In the German course
der Stift, -e;the pen, pens
der Kugelschreiber;the ballpoint pen
der Kuli, -s;the pen (short for Kugelschreiber), pens
der Laptop, -s;the laptop, laptops
das labtet, -s;(likely typo) possibly "das Tablet, -s" (the tablet)
der Schlüssel, -;the key, keys
der Tisch, -e;the table, tables
der Stuhl, -e;the chair, chairs
das Buch, -er;the book, books
das Heft, -e;the notebook, notebooks
das Handy, -s;the cell phone, cell phones
das Fenster -;the window, windows
die Lampe, -n;the lamp, lamps
die Brille, -n;the glasses, pairs of glasses
die CD, -s;the CD, CDs
die Flasche, -n;the bottle, bottles
die Tür, -en;the door, doors
die Uhr, -en;the clock/watch/o'clock, clocks
die Tafel, -n;the blackboard/board, boards
die Tasche, -n;the bag, bags
kosten;to cost
der Euro, -s;the euro, euros
richtig;correct/right
kaputt;broken
interessant;interesting
(C)) Zahlen, Zahlen, Zahlen;Numbers, Numbers, Numbers
die Vorwahl, -en;the area code, area codes
die Telefonnummer, -n;the telephone number, telephone numbers
(D) Wie ist Ihre Adresse?;What is your address?
die Adresse, -n;the address, addresses
die Straße, -n;the street, streets
die Postleitzahl, -en;the postal code/zip code, postal codes
die E-Mail-Adresse, -n;the email address, email addresses
die Kita, -s;the daycare center, daycare centers
der Platz, -e;the place/square/seat, places
frei;free/available
schicken;to send
das Anmeldeformular, -e;the registration form, registration forms
Vielen Dank;Thank you very much
auf Wiederhören;Goodbye (on the phone)
