German;English
einkaufen;to go shopping
Eis essen;to eat ice cream
schwimmen gehen;to go swimming
Sport machen;to do sports
Freunde treffen;to meet friends
Kaffee trinken;to drink coffee
ein Picknick machen;to have a picnic
tanzen;to dance
grillen;to barbecue
lange frühstücken;to have a long breakfast
spazieren gehen;to go for a walk
etwas reparieren;to repair something
Zeitung lesen;to read the newspaper
lange schlafen;to sleep late / long
die Wohnung / das Auto putzen;to clean the apartment / the car
im Garten arbeiten;to work in the garden
Ausflüge machen;to go on trips
Verwandte besuchen;to visit relatives
in einen Club gehen;to go to a club

