English;German
radio;Radio
radio alarm clock;Radiowecker
rain;Regen
rain gear, wet-weather clothes;die Regensachen, Pl.
rare/seldom;selten
rarely;selten
rarely on time;selten pünktlich
rarely/seldom;selten
rate, tariff;der Tarif, -e
rather on the sidewalk;lieber auf dem Bürgersteig
really;wirklich
really interesting;wirklich interessant
really lucky;wirklich Glück
really nice photos;wirklich schöne Fotos
really not pleasant;Wirklich nicht angenehm
really practical;wirklich praktisch
really time;wirklich Zeit
really, truly;Wirklich
receipt;die Quittung, -en
recipe/prescription;Rezept
recipient;Empfänger
recognition/appreciation;Anerkennung
recovery/recreation;Erholung
recruitment consultant, personnel consultant;der/die Personalberater/in, -/-nen
red;rot
refrigerator;Kühlschrank
registration;Anmeldung
registration confirmation;Anmeldebestätigung
registration form;Anmeldeformular
registration office;Meldestelle
registry office;Standesamt
regular;regelmäßig
relatives;Verwandte
relaxation;die Entspannung, Sg.
relaxing;entspannend
reliable;zuverlässig
renovation;die Renovierung, -en
rent;Miete
rental apartment building;Mietshaus
rental contract;Mietvertrag
repair;die Reparatur, -en
report;der Bericht, -e
report card, certificate;das Zeugnis, -se
request/you're welcome;Bitte
reservation;Reservierung
reservation, booking;Reservierung
resident, inhabitant;der/die Bewohner/in, -/-nen
resilient, able to handle stress;belastbar
rest/remainder;Rest
restaurant;Restaurant
restaurant, pub, local establishment;das Lokal, -e
result;das Ergebnis, -se
retiree, pensioner;der/die Rentner/in, -/-nen
return flight;der Rückflug, -¨e
rice;Reis
right away, immediately;Gleich
right here nearby;Gleich hier in der Nähe
right nearby;ganz in der Nähe
right next to, immediately to the right of;gleich rechts neben
right of way;Vorfahrt
right/on the right;rechts
ring;Ring
river;Fluss
roll/bun;Brötchen
romantic;romantisch
room;der Raum, -e
rose;die Rose, -n
round/approximately;rund
rule;Regel
runny nose, cold;Schnupfen
