English;German
baby laundry/baby clothes;Babywäsche
baby pants;Babyhose
back;zurück
back (body);Rücken
the back and the stomach;der Rücken und der Bauch
back pain;die Rückenschmerzen. Pl
back then/at that time;damals
backache, back pain;Rückenschmerzen
backpack;der Rucksack, -¨e
bad;schlecht
bad air, stuffy air;schlechte Luft
bad/terrible;schlimm
bag;Tasche
the bag, bags;die Tasche, -n
the bag, pocket, purse;die Tasche
bags, pockets, purses;Taschen
to bake;backen
baker, bakery;Bäcker
bakery;die Bäckerei
the balcony;der Balkon
the balcony, balconies;der Balkon, -s/-e
ballpoint pen;Kugelschreiber (Kuli)
the ballpoint pen;der Kugelschreiber
the banana, bananas;die Banane, -n
band-aid, plaster;das Pflaster, -
bandage, dressing;der Verband, -¨e
bank;die Bank, -en
bank account details;Bankverbindung
the bank account details;die Bankverbindung -en
bank advisor;der Bankberater, -
the bank clerk;der Bankkaufmann
the bank clerk (male);die Bankkauffrau
the bank statement;der Kontoauszug, -e
the bank/bench;die Bank, -en
banking professionals;Bankkaufleute
bar (of chocolate);Tafel (Schokolade)
bar of chocolate;Tafel Schokolade
the bar of chocolate;die Tafel Schokolade
to barbecue/grill;grillen
to bare the upper body;den Oberkörper frei machen
basic knowledge;die Grundkenntnisse, Pl.
basketball club;Basketballverein
bath/bathroom;Bad
to bathe, to swim;baden
bathrobe;Bademantel
batteries;die Batterien, Pl.
to be;sein
to be born;geboren sein
to be, is, has been;sein, ist, ist gewesen
beach;der Strand, -¨e
the beach;der Strand, -e
the beaches;die Strände
beautiful, gorgeous;Wunderschön
beautiful/nice;schön
because;weil
because/for;denn
bed;Bett
the bed, beds;das Bett, -en
the bedroom, bedrooms;das Schlafzimmer, -
the beer, beers;das Bier, -e
to begin;beginnen
to begin, begins, has begun;anfangen, fängt an, hat angefangen
to begin/start;anfangen
beginner;der/die Anfänger/in, -/-nen
beginning;Anfang
the beginning/start, beginnings;der Anfang, -e
behind;hinter
to believe;glauben
belly/stomach;Bauch
to belong;gehören
belonged/owned (past participle of gehören);gehört
below/downstairs;unten
bench;Bank
the bench/bank;die Bank, -e
besides, furthermore;Außerdem
best;am besten
Best regards;Liebe Grüße
better;besser
Better a little too little;Lieber ein bisschen zu wenig
better than today;esser als heute
between;zwischen
beverage machine, drinks dispenser;der Getränkeautomat, -en
bicycle;Fahrrad
bicycle path, bike lane;der Fahrradweg, -e
bicycle room;Fahrradraum
the bicycle, bicycles;das Fahrrad, -er
the bicycles;die Fahrräder
big/large;groß
the bike tour, bike tours;die Radtour, -en
bike tour, cycling trip;Radtour
bill, check;die Rechnung, -en
bill/invoice;Rechnung
billing address;Rechnungsadresse
the bin/ton;die Tonne, -n
biology;die Biologie, Sg.
the birth certificate;die Geburtsurkunde, -n
birthday;der Geburtstag, -e
a bit much;etwas viel
