German;English
ab;from (starting at) – temporal
Ab Montag bin ich im Urlaub.;From Monday I am on vacation.
an;on (days / parts of day)
Am Montag habe ich frei.;On Monday I am free.
bis;until
Ich arbeite bis 18 Uhr.;I work until 6 PM.
gegen;around (approximately – time)
Gegen 10 Uhr komme ich.;Around 10 o'clock I come.
in;in (within a time period)
In einer Woche ist Ostern.;In one week it is Easter.
nach;after (in time)
Nach der Arbeit schlafe ich.;After work I sleep.
seit;since / for
Ich lerne Deutsch seit einem Jahr.;I have been learning German for a year.
über;over (period of time)
Über die Feiertage bin ich zu Hause.;Over the holidays I am at home.
um;at (specific time)
Wir treffen uns um 8 Uhr.;We meet at 8 o'clock.
von ... bis;from ... to / until
Ich arbeite von 9 bis 17 Uhr.;I work from 9 to 5 PM.
vor;before (in time) / ago
Vor einer Stunde kam er.;He came one hour ago.
zu;at (special occasions / times)
Zu Weihnachten sind wir zu Hause.;At Christmas we are at home.
zwischen;between (time)
Zwischen 8 und 9 Uhr ist Frühstück.;Between 8 and 9 AM is breakfast.
