English;German
a bit much;etwas viel
A day in the life;Ein Tag im Leben
a few tips;paar Tipps
a little bit;ein bisschen
a little sick / slightly ill;bisschen krank
a lot during training;viel beim Training
a lot of rubbish/trash;viel Müll
a lot of snow;viel Schnee
a lot of traffic;viel Verkehr
a permanent position;eine feste Stelle
A visit to the doctor;Ein Besuch beim Arzt
A4 paper;das A4-Papier, Sg.
ability, capability;die Fähigkeit, -en
about the vacation;vom Urlaub
above all, especially;vor allem
above/upstairs;oben
absence/lack;Fehlen
absolutely sure;ganz sicher
absolutely/definitely;unbedingt
accident;Unfall
accommodation;die Unterkunft, -e
account;das Konto, Konten
account fee;die Kontogebühr, -en
account number;Kontonummer
accountant;Buchhalter
accounting, accounts department;die Buchhaltung, -en
acquaintance;der/die Bekannte, -en
acquaintance (dative/plural);Bekannten
active;aktiv
active vacation;Aktivurlaub
activity, job duties;die Tätigkeit, -en
Actually quite good;Eigentlich ganz gut
actually, really;eigentlich
actually/really;eigentlich
additional costs/utilities;Nebenkosten
address;Adresse
adult;der/die Erwachsene, -n
adult education center/community college;Volkshochschule
adults (dative/genitive plural);Erwachsenen
advanced learner, intermediate;der/die Fortgeschrittene, -n/-n
advantage;der Vorteil, -e
advantage/benefit;Vorteil
advertisement/display;Anzeige
after that, afterwards;danach
after that/afterwards;danach
after/to;nach
after/to/toward;nach
afternoon;Nachmittag
Afterwards she chills / relaxes;Danach chillt sie
afterwards/after that;danach
again;wieder
against it/on the other hand;dagegen
agreement (by appointment/arrangement);Vereinbarung (nach Vereinbarung)
airplane;Flugzeug
airport;Flughafen
all;alle
All about money;Rund ums Geld
All about the Internet;Rund ums Internet
all day;ganzen Tag
all day, the whole day;ganzen Tag
All the best!;Alles Gute!
all together again;alle zusammen wieder
all/everyone;alle
allotment garden association;der Kleingartenverein, -e
almost;fast
alone;allein, alleine
alphabet;Alphabet
already;schon
already dark early;schon früh dunkel
already full again;schon wieder voll
already grown up;schon erwachsen
already so late;schon so spi
also;auch
also a little bit more;auch noch ein bisschen
also brings chewing gum along;bringt auch noch Kaugummis mit
also comes along;auch mit
also gladly;auch gern
also important;auch wichtig
also jog;joggen auch
also other hobbies;auch noch andere Hobbys
also plays (theater) / also pieces;auch Stücke
also something;auch etwas
also something on / also something at;auch etwas an
also the bicycle;auch das Fahrrad
Also went to school;Sind auch zur Schule gegangen
also/too;auch
always;immer
always liked to go;ist immer gern gegangen
always something;immer etwas
always something interesting;immer etwas Interessantes
always something new;immer etwas Neues
always the train;immer den Zug
always very nice;immer sehr nett
ambulance;Krankenwagen
an accident;einen Unfall
An apartment building;Ein Mehrfamilienhaus
an idea;eine Idee
and;und
animals;Tiere
anniversary (often a milestone);das Jubiläum, Jubiläen
annoyed/irritated;genervt
annoying;ärgerlich
annoying once again;wieder mal ärgerlich
annoying, irritating;ärgerlich
answering machine;Anrufbeantworter
Anything else?;Sonst noch etwas
apartment building, tenement house;Mietshaus
apartment building/multi-family house;Mehrfamilienhaus
apartment/flat;Wohnung
apology;Entschuldigung
appendicitis;Blinddarmentzündung
appetite;Appetit
appetizer, starter;die Vorspeise, -n
apple;der Apfel
apple juice;Apfelsaft
Apple, Orange, Banana, Sausage;Apfel, Orange, Banane, Wurst
application;die Bewerbung, -en
application documents;die Bewerbungsunterlagen, Pl.
application photo;das Bewerbungsfoto, -s
appointment;Termin
apprenticeship position, training place;der Ausbildungsplatz, -¨e
approximately/about;ungefähr
April;der April
are open;haben geöffnet
are painting right now;malen gerade
Are you also new here in the building?;Sind Sie auch neu hier im Haus?
Are you going shopping?;Gehst du einkaufen
Are you satisfied with your life?;Sind zufrieden mit Ihrem Leben
area code;Vorwahl
area code, dialing code;Vorwahlnummer
aren't you (looking) with the city / at the city (authorities);du nicht bei der Stadt
armchair;Sessel
around - to drive around the corner;um - um die Ecke fahren
around/at;um
arrival;Ankunft
arrival (travel);Anreise
art;die Kunst, Sg.
article;Artikel
as a taxi driver;als Taxifahrer
as well as;sowie
as, when, than;als
as: He works as an educator.;als: Er arbeitet als Erzieher.
Asian shop;Asienladen
asks, questions, interrogates;befragt
at - at nine o'clock;um - um neun Uhr
at (time);um
at all (not at all);überhaupt (nicht)
at any time, anytime;jederzeit
at half past six;um halb sieben
at home;zu Hause
at least;mindestens
at night;in der Nacht
at nine o'clock;Um neun Uhr
at noon;am Mittag
at quarter to six;um Viertel vor sechs
at the beginning;am Anfang
At the community college / adult education center;Bei der Volkshochschule
at the edge of the Alps, in the Alpine foothills;am Alpenrand
at the foreigners' registration office;Beim Ausländeramt
at the housing office;Beim Wohnungsamt
at the moment, currently;zurzeit
At the registration office;Bei der Meldestelle
at the registration office (for residents);Bei der Meldestelle
at the registry office;Beim Standesamt
at the residents' registration office;Beim Einwohnermeldeamt
at three years old;mit drei Jahren
At what time?;Um wie viel Uhr?
at/near;bei
at/on;an
attic floor, top floor;Dachgeschoss
attic/loft;Dachgeschoss
August;der August
aunt;Tante
Austria;Österreich
authority/office;Behörde
automaton/vending machine;Automat
automotive mechatronics technician;der/die Kfz-Mechatroniker/in, -/-nen
autumn/fall;Herbst
average/on average;durchschnittlich
