English;German
baby laundry/baby clothes;Babywäsche
baby pants;Babyhose
back;zurück
back (body);Rücken
back pain;die Rückenschmerzen. Pl
back pain, backache;Rückenschmerzen
back then/at that time;damals
backache, back pain;Rückenschmerzen
backpack;der Rucksack, -¨e
bad;schlecht
bad air, stuffy air;schlechte Luft
bad/terrible;schlimm
bag;Tasche
bags, pockets, purses;Taschen
baker;Bäcker
baker, bakery;Bäcker
bakery;die Bäckerei
balcony;Balkon
ballpoint pen;Kugelschreiber (Kuli)
banana;die Banane
band-aid, plaster;das Pflaster, -
bandage, dressing;der Verband, -¨e
bank;die Bank, -en
bank account details;Bankverbindung
bank advisor;der Bankberater, -
bank clerk (male/female);Bankkaufmann/Bankkauffrau
bank statement;Kontoauszug
banking professionals;Bankkaufleute
bar (of chocolate);Tafel (Schokolade)
bar of chocolate;Tafel Schokolade
basic knowledge;die Grundkenntnisse, Pl.
basketball club;Basketballverein
bath/bathroom;Bad
bathrobe;Bademantel
batteries;die Batterien, Pl.
beach;der Strand, -¨e
beautiful;schön
beautiful, gorgeous;Wunderschön
beautiful/nice;schön
because;weil
because/for;denn
bed;Bett
bedroom;Schlafzimmer
beer;Bier
beginner;der/die Anfänger/in, -/-nen
beginning;Anfang
behind;hinter
belly/stomach;Bauch
belonged/owned (past participle of gehören);gehört
below/downstairs;unten
bench;Bank
besides, furthermore;Außerdem
best;am besten
Best regards;Liebe Grüße
better;besser
Better a little too little;Lieber ein bisschen zu wenig
better than today;esser als heute
between;zwischen
beverage machine, drinks dispenser;der Getränkeautomat, -en
bicycle;Fahrrad
bicycle path, bike lane;der Fahrradweg, -e
bicycle room;Fahrradraum
big/large;groß
bike tour;Radtour
bike tour, cycling trip;Radtour
bill, check;die Rechnung, -en
bill/invoice;Rechnung
billing address;Rechnungsadresse
biology;die Biologie, Sg.
birth certificate;Geburtsurkunde
birthday;der Geburtstag, -e
black;schwarz
blackboard/board;Tafel
blanket;die Decke, -n
blood values, blood test results;die Blutwerte, Pl.
blouse;Bluse
blue;blau
boat trip on the Rhine;Schifffahrt auf dem Rhein
body part;Körperteil
bonus;Bonus
bonus booklet;Bonusheft
bonuses;Boni
book;Buch
booked on flight;gebucht auf Flug
boredom;die Langeweile, Sg.
boring;langweilig
boring childhood;langweilige Kindheit
born;geboren
boss;Chef
both;beide
both already very active;beide schon sehr aktiv
both like dancing very much;tanzen beide sehr gern
bottle;Flasche
bouquet of flowers;der Blumenstrauß, -¨e
boutique;Boutique
boutiques;Boutiquen
box of chocolates;die Schachtel Pralinen
box/crate;Kasten
bread;das Brot
bread and;Brot und
bread roll;das Brötchen
break;Pause
break rule(s);die Pausenregel, -n
breakdown service;der Pannendienst, -e
breakfast;Frühstück
Breakfast, Dinner, Morning, Lunch;Frühstück, Abendessen, Vormittag, Mittagessen
bridal couple;das Brautpaar, -
bride;die Braut, -¨e
bridge;Brücke
bright;hell
bright, light;hell
bright/light;hell
brochure, leaflet;der Prospekt, -e
broken;kaputt
brother;Bruder
brown;braun
building management;Hausverwaltung
building management is slow;Hausverwaltung langsam
building management, property management;Hausverwaltung
bus;Bus
bus trip;Busreise
business account;das Geschäftskonto, -konten
business card;Visitenkarte
business start-up course;der Existenzgründerkurs, -e
business trip;die Geschäftsreise, -n
busy, engaged (line);belegt
but;aber
but (1): That's so cute!;aber (1)
but (2): ... but I often have to work on weekends;aber (2)
but also;Aber auch
but also problems;aber auch Probleme
but at all / but indeed;doch gar
But how does one get;Aber wie bekommt
but it was also fun;hat aber auch Spaß gemacht
But sometimes;Aber manchmal
but sometimes strenuous;aber manchmal anstrengend
butter;Butter
Buying clothes;Kleidung kaufen
by appointment;nach Vereinbarung
by bus (dative after "mit");dem Bus
by car (dative after "mit");dem Auto
by profession;von Beruf
by subway (dative after "mit");der U-Bahn
by the way;übrigens
by train;mit dem Zug
by train (dative after "mit");dem Zug
by tram (dative after "mit");der Straßenbahn
bye/see you;tschüss
Bye/See you (informal);Tschüss
