German;English
kurz nach eins in der Nacht;shortly after one in the night
geschlossen, nichts los;closed, nothing going on
Kein Mensch zu sehen;not a soul to be seen
Uli getroffen;met Uli
ein Zufall;a coincidence
nicht gerade ein Zufall;not exactly a coincidence
ihn angerufen;called him
glücklicherweise in der Tasche;fortunately in the pocket
Nummer herausgefunden;found out the number
wohnt immer noch in der Finkenstraße in Altenberge;still lives on Finkenstraße in Altenberge
ihn angerufen;called him
Es war mittlerweile halb zwei;it was already half past one by then
ja auch verstehen;indeed can understand
schon geschlafen;already sleeping
Uli gegeben;given to Uli
ins Auto gesetzt und hat mich abgeholt;got in the car and picked me up
Uli war schon immer ein guter Freund;Uli has always been a good friend
sich wirklich auf ihn verlassen;to really rely on him
