English;German
Keep the change. / That's correct (as is).;Stimmt so.
the key;der Schlüssel
key, button;die Taste, -n
the key, keys;der Schlüssel, -
the kilo/kilogram;das Kilo/Kilogramm, Sg
the kilometer;der Kilometer, -
kindergarten;Kindergarten
the kindergarten;der Kindergarten, -
kindergarten spot;Kindergartenplatz
the kindergarten spot;der Kindergartenplatz, -e
kiosk, newsstand;das Kiosk, -e
kiosk/newsstand;Kiosk
to kiss each other;sich küssen
kitchen;Küche
the kitchen, kitchens;die Küche,-n
KM = base rent (excluding utilities);KM = die Kaltmiete, Sg.
knife;das Messer, -
to know (be acquainted with), knows, has known;kennen, kennt, hat gekannt
to know (facts), knows, has known;wissen, weiß, hat gewusst
know (first/third person singular);weiß
knowledge;Wissen
knowledge, skills;die Kenntnisse, Pl.
